DATE,TAVG,TMAX,TMIN
6/16/1941,69,78,59
6/17/1941,68,77,57
6/18/1941,69,83,55
6/19/1941,77,89,65
6/20/1941,79,92,67
6/21/1941,81,93,70
6/22/1941,83,93,71
6/23/1941,81,88,66
6/24/1941,71,80,61
6/25/1941,75,85,65
6/26/1941,76,86,65
6/27/1941,78,90,65
6/28/1941,81,87,73
6/29/1941,81,93,72
6/30/1941,81,90,74
7/1/1941,83,95,74
7/2/1941,87,97,73
7/3/1941,79,86,67
7/4/1941,67,68,63
7/5/1941,68,76,62
7/6/1941,71,77,67
7/7/1941,74,78,71
7/8/1941,77,85,71
7/9/1941,73,82,71
7/10/1941,74,85,64
7/11/1941,77,85,71
7/12/1941,78,89,71
7/13/1941,74,76,69
7/14/1941,75,80,68
7/15/1941,73,82,64
7/16/1941,74,83,66
7/17/1941,77,88,71
7/18/1941,77,85,71
7/19/1941,81,87,72
7/20/1941,76,83,66
7/21/1941,74,81,65
7/22/1941,74,84,63
7/23/1941,73,81,65
7/24/1941,77,86,71
7/25/1941,78,87,68
7/26/1941,84,96,72
7/27/1941,84,96,73
7/28/1941,87,100,76
7/29/1941,83,82,71
7/30/1941,75,87,70
7/31/1941,81,91,74
8/1/1941,84,93,76
8/2/1941,81,89,72
8/3/1941,80,89,68
8/4/1941,78,88,71
8/5/1941,80,92,69
8/6/1941,79,87,72
8/7/1941,77,87,66
8/8/1941,78,92,67
8/9/1941,82,97,68
8/10/1941,82,87,71
8/11/1941,76,86,66
8/12/1941,79,86,65
8/13/1941,68,74,58
8/14/1941,67,80,55
8/15/1941,74,84,66
8/16/1941,76,85,68
8/17/1941,71,74,58
8/18/1941,69,78,59
8/19/1941,73,84,68
8/20/1941,72,78,64
8/21/1941,71,83,59
8/22/1941,71,80,62
8/23/1941,76,89,66
8/24/1941,76,85,72
8/25/1941,77,84,72
8/26/1941,80,92,71
8/27/1941,74,77,68
8/28/1941,69,79,58
8/29/1941,69,78,58
8/30/1941,73,86,63
8/31/1941,79,92,68
9/1/1941,81,94,72
9/2/1941,77,83,68
9/3/1941,72,76,66
9/4/1941,74,80,70
9/5/1941,79,89,67
9/6/1941,76,88,65
9/7/1941,79,90,67
9/8/1941,78,85,70
9/9/1941,80,92,71
9/10/1941,83,95,75
9/11/1941,74,76,60
9/12/1941,64,74,53
9/13/1941,64,77,49
9/14/1941,66,78,54
9/15/1941,72,85,61
9/16/1941,76,89,65
9/17/1941,78,92,65
9/18/1941,74,80,64
9/19/1941,69,76,59
9/20/1941,64,73,54
9/21/1941,65,78,56
9/22/1941,66,80,55
9/23/1941,71,89,56
9/24/1941,75,85,66
9/25/1941,73,84,64
9/26/1941,74,79,66
9/27/1941,70,78,62
9/28/1941,73,87,64
9/29/1941,70,72,54
9/30/1941,60,70,52
10/1/1941,75,92,67
10/2/1941,72,77,66
10/3/1941,72,85,66
10/4/1941,80,92,74
10/5/1941,82,96,70
10/6/1941,83,94,72
10/7/1941,82,94,70
10/8/1941,79,84,62
10/9/1941,65,74,54
10/10/1941,64,71,53
10/11/1941,57,65,49
10/12/1941,57,76,43
10/13/1941,62,76,50
10/14/1941,67,82,54
10/15/1941,70,75,63
10/16/1941,63,67,50
10/17/1941,54,64,42
10/18/1941,59,70,53
10/19/1941,68,76,60
10/20/1941,65,69,60
10/21/1941,66,82,57
10/22/1941,65,71,51
10/23/1941,61,78,50
10/24/1941,55,63,45
10/25/1941,58,64,44
10/26/1941,52,62,37
10/27/1941,59,69,54
10/28/1941,60,64,42
10/29/1941,45,54,37
10/30/1941,49,60,39
10/31/1941,56,61,51
11/1/1941,63,70,58
11/2/1941,61,67,48
11/3/1941,55,63,43
11/4/1941,51,64,38
11/5/1941,59,70,51
11/6/1941,61,68,55
11/7/1941,58,59,46
11/8/1941,49,53,45
11/9/1941,46,50,40
11/10/1941,43,48,36
11/11/1941,40,48,31
11/12/1941,41,49,34
11/13/1941,43,60,28
11/14/1941,49,70,31
11/15/1941,50,69,34
11/16/1941,56,66,42
11/17/1941,48,59,38
11/18/1941,49,70,37
11/19/1941,57,73,45
11/20/1941,63,74,55
11/21/1941,53,60,36
11/22/1941,40,50,27
11/23/1941,44,53,40
11/24/1941,46,46,32
11/25/1941,36,45,27
11/26/1941,41,59,30
11/27/1941,48,68,33
11/28/1941,50,65,36
11/29/1941,49,70,36
11/30/1941,53,70,37
12/1/1941,49,51,40
12/2/1941,47,55,42
12/3/1941,52,66,43
12/4/1941,50,58,42
12/5/1941,59,65,50
12/6/1941,50,54,36
12/7/1941,38,43,30
12/8/1941,39,55,30
12/9/1941,40,42,31
12/10/1941,37,54,29
12/11/1941,33,37,26
12/12/1941,33,36,30
12/13/1941,34,38,30
12/14/1941,38,42,30
12/15/1941,34,46,25
12/16/1941,37,55,27
12/17/1941,44,49,30
12/18/1941,40,58,30
12/19/1941,46,59,35
12/20/1941,45,49,31
12/21/1941,32,40,26
12/22/1941,33,44,26
12/23/1941,41,62,34
12/24/1941,59,62,44
12/25/1941,48,51,39
12/26/1941,45,54,40
12/27/1941,46,50,37
12/28/1941,37,40,30
12/29/1941,37,40,30
12/30/1941,31,37,26
12/31/1941,35,43,31
1/1/1942,40,53,38
1/2/1942,51,59,33
1/3/1942,35,40,28
1/4/1942,35,40,31
1/5/1942,33,36,19
1/6/1942,20,24,12
1/7/1942,22,26,13
1/8/1942,13,15,7
1/9/1942,15,26,7
1/10/1942,21,24,6
1/11/1942,17,34,6
1/12/1942,25,39,13
1/13/1942,38,43,31
1/14/1942,37,54,25
1/15/1942,46,53,37
1/16/1942,40,44,24
1/17/1942,30,42,19
1/18/1942,45,65,37
1/19/1942,54,57,41
1/20/1942,44,45,37
1/21/1942,39,41,28
1/22/1942,35,47,28
1/23/1942,43,56,32
1/24/1942,45,64,32
1/25/1942,43,50,34
1/26/1942,40,41,38
1/27/1942,39,41,36
1/28/1942,38,39,32
1/29/1942,33,37,26
1/30/1942,29,36,24
1/31/1942,38,54,33
2/1/1942,40,42,30
2/2/1942,28,30,15
2/3/1942,19,29,12
2/4/1942,27,42,17
2/5/1942,39,47,33
2/6/1942,41,49,31
2/7/1942,42,46,37
2/8/1942,38,39,24
2/9/1942,28,39,20
2/10/1942,31,36,27
2/11/1942,34,44,30
2/12/1942,33,35,23
2/13/1942,28,39,21
2/14/1942,34,47,25
2/15/1942,39,59,27
2/16/1942,40,54,34
2/17/1942,49,57,36
2/18/1942,39,44,32
2/19/1942,30,37,19
2/20/1942,22,29,16
2/21/1942,25,34,19
2/22/1942,30,42,24
2/23/1942,34,46,27
2/24/1942,34,42,26
2/25/1942,34,45,26
2/26/1942,36,45,32
2/27/1942,36,43,31
2/28/1942,37,44,30
3/1/1942,41,46,34
3/2/1942,37,44,30
3/3/1942,40,44,36
3/4/1942,42,49,35
3/5/1942,41,53,34
3/6/1942,46,52,40
3/7/1942,47,66,34
3/8/1942,59,66,50
3/9/1942,55,67,40
3/10/1942,45,61,34
3/11/1942,53,71,42
3/12/1942,56,59,42
3/13/1942,46,57,36
3/14/1942,45,53,41
3/15/1942,45,56,40
